# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.entities.ms,1749139298520000000,1749139307796000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1749139298520000000,1749139307796000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1749139298520000000,1749139307796000000,0
jps.global.handle.changed.events.ms,1749139298520000000,1749139307796000000,0
jps.global.initialize.library.bridges.after.loading.ms,1749139298520000000,1749139307796000000,2
workspaceModel.global.apply.state.to.project.ms,1749139298520000000,1749139307796000000,0
jps.load.initial.state.ms,1749139298520000000,1749139307796000000,13
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1749139298520000000,1749139307796000000,0
VFS.fileByIdCache.hits,1749139298520000000,1749139307796000000,0
VFS.fileByIdCache.misses,1749139298520000000,1749139307796000000,0
VFS.invertedFileNameIndex.requests,1749139298520000000,1749139307796000000,0
VFS.fileChildByName,1749139298520000000,1749139307796000000,13
cacheStateStorage.set.duration,1749139298520000000,1749139307796000000,0
cacheStateStorage.get.counter,1749139298520000000,1749139307796000000,10
cacheStateStorage.get.duration,1749139298520000000,1749139307796000000,0
cacheStateStorage.set.counter,1749139298520000000,1749139307796000000,0
